"Usia : ","Gen","Domisili :","Jenis kelamin :","Pendapatan perbulan :","Status pernikahan :","Pekerjaan :","1. Super App Perbankan mana saja yang Kamu gunakan :","3. Seberapa 2 Kamu menggunakan Super App Perbankan tersebut ?","5. Fitur apa saja 2 Kamu gunakan dari Super App Perbankan tersebut ?","6. Permasalahan apa saja yang 2 Kamu alami saat menggunakan Super App Perbankan ?"
"21","2","Jakarta","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","1","Top Up Ewallet","Eror saat bertransaksi"
"45","0","Jakarta","Male",">35000000","1","Wirausahawan","BCA Mobile","0","Transfer Uang, Cek Saldo dan Mutasi Rekening","Jaringan yang sulit untuk provider tertentu"
"52","0","Jakarta","Male",">35000000","1","Other","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"21","2","Subang","Female","<5000000","0","Pelajar/Mahasiswa","BNI Mobile Banking","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"54","0","Jakarta","Female",">35000000","1","Wirausahawan","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Eror saat bertransaksi"
"49","0","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"40","1","Semarang","Female","5000000-10000000","1","Karyawan Swasta","BriMo","2","Transfer Uang, Cek Saldo dan Mutasi Rekening","Other"
"49","0","Jakarta","Male","20000000-35000000","1","Wirausahawan","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Banyaknya fitur yang tidak digunakan"
"50","0","Depok","Male","10000000-20000000","1","Karyawan Swasta","BCA Mobile","0","Transfer Uang, Cek Saldo dan Mutasi Rekening","Eror saat bertransaksi"
"45","0","Bekasi","Male","10000000-20000000","1","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"47","0","Jakarta","Female",">35000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Banyaknya fitur yang tidak digunakan"
"56","0","Depok","Male",">35000000","1","Karyawan Swasta","Permata Bank","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"43","0","Jakarta","Male","10000000-20000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"45","0","Jakarta","Female","5000000-10000000","1","Ibu Rumah Tangga","Livin Mandiri","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"46","0","Jakarta","Male","5000000-10000000","1","Karyawan Swasta","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
